SourceElementKey,BlockfaceName,SideOfStreet,ParkingTimeLimitCategory,ParkingSpaceCount,PaidParkingArea,PaidParkingSubArea,PaidParkingRate,ParkingCategory,longitude,latitude
37190,E PINE ST BETWEEN 12TH AVE AND 13TH AVE,S,120,3,Pike-Pine,,,Paid Parking,122.31614397,47.61521396
59045,YALE AVE N BETWEEN VALLEY ST AND ALOHA ST,W,600,7,South Lake Union,North,,Paid Parking,122.33093328,47.62641488
10869,HARRISON ST BETWEEN DEXTER AVE N AND 8TH AVE N,N,600,6,South Lake Union,South,,Paid Parking,122.34169609,47.62213569
8249,7TH AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,120,3,Denny Triangle,South,,Paid Parking,122.33687047,47.6146276
58181,SPRING ST BETWEEN 7TH AVE AND 8TH AVE,NW,120,10,First Hill,,,Carpool Parking,122.32970457,47.60847962
32017,BELL ST BETWEEN ELLIOTT AVE AND WESTERN AVE,NW,120,6,Belltown,South,,Paid Parking,122.34783611,47.61244339
63125,NE BOAT ST BETWEEN NE BOAT WR ST AND BROOKLYN AVE NE,NE,120,33,University District,Core,,Paid Parking,122.31616438,47.6524982
20833,S KING ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,N,120,2,Pioneer Square,Edge,,Paid Parking,122.33482809,47.59836415
11669,MARION ST BETWEEN 9TH AVE AND TERRY AVE,NW,120,7,First Hill,,,Paid Parking,122.32616272,47.60797179
78781,HARRISON ST BETWEEN AURORA AVE N AND DEXTER AVE N,N,600,5,South Lake Union,South,,Paid Parking,122.34302665,47.62214055
58197,SPRING ST BETWEEN MINOR AVE AND SUMMIT AVE,NW,120,10,First Hill,,,Restricted Parking Zone,122.32416226,47.61080097
28958,4TH AVE BETWEEN WALL ST AND VINE ST,NE,240,9,Belltown,North,,Paid Parking,122.3465524,47.61701844
78937,HOWELL ST BETWEEN BOREN AVE AND MINOR AVE,NW,240,8,Denny Triangle,North,,Paid Parking,122.33105726,47.61655931
9509,BROOKLYN AVE NE BETWEEN NE 45TH ST AND NE 47TH ST,W,120,14,University District,Core,,Paid Parking,122.31432926,47.66217406
8610,9TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,120,7,First Hill,,,Restricted Parking Zone,122.32565947,47.60666928
77545,CHERRY ST BETWEEN 2ND AVE AND 3RD AVE,NW,120,8,Pioneer Square,Core,,Paid Parking,122.33266198,47.60331352
70866,2ND AVE S BETWEEN S JACKSON ST AND S KING ST,E,120,16,Pioneer Square,Edge,,Paid Parking,122.33145758,47.59876727
31893,BATTERY ST BETWEEN 3RD AVE AND 4TH AVE,NW,240,5,Belltown,North,,Paid Parking,122.34570735,47.61587638
58222,STEWART ST BETWEEN 7TH AVE AND 8TH AVE,SE,120,5,Denny Triangle,South,,Paid Parking,122.33566247,47.61456869
31490,ALASKAN WAY BETWEEN PINE ST AND VIRGINIA ST,NE,120,11,Belltown,South,,Paid Parking,122.34436292,47.60896401
80741,SENECA ST BETWEEN TERRY AVE AND BOREN AVE,NW,120,6,First Hill,,,Restricted Parking Zone,122.32704785,47.61059363
1277,1ST AVE W BETWEEN W THOMAS ST AND W HARRISON ST,W,240,9,Uptown,Edge,,Paid Parking,122.35811282,47.62153011
10161,EASTLAKE AVE E BETWEEN LAKEVIEW BLVD E AND ALOHA ST,W,120,12,South Lake Union,North,,Paid Parking,122.32935349,47.62599666
34510,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,E,600,11,South Lake Union,South,,Paid Parking,122.33288283,47.62251773
13526,WESTERN AVE BETWEEN BAY ST AND QUEEN ANNE AVE,NE,240,4,Belltown,North,,Paid Parking,122.35633431,47.61810239
58194,SPRING ST BETWEEN TERRY AVE AND BOREN AVE,SE,120,8,First Hill,,,Restricted Parking Zone,122.32630418,47.60977296
80837,SPRING ST BETWEEN 6TH AVE AND 7TH AVE,NW,120,7,Commercial Core,Financial,,Carpool Parking,122.33081391,47.60804144
69441,12TH AVE BETWEEN E SPRING ST AND E MADISON ST,W,120,3,12th Avenue,,,Paid Parking,122.31690313,47.61219679
77982,DEXTER AVE N BETWEEN VALLEY ST AND ALOHA ST,E,600,2,South Lake Union,North,,Paid Parking,122.34220881,47.62670217
24222,1ST AVE S BETWEEN S ROYAL BROUGHAM WAY AND S ATLANTIC ST,E,120,3,Pioneer Square,Edge,,Paid Parking,122.33404505,47.59131284
76406,9TH AVE BETWEEN COLUMBIA ST AND MARION ST,NE,120,8,First Hill,,,Restricted Parking Zone,122.32629794,47.60737724
81105,TERRACE ST BETWEEN DEAD END 2 AND TERRY AVE,NW,120,5,First Hill,,,Restricted Parking Zone,122.32270131,47.60449698
57202,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,E,600,9,South Lake Union,North,,Paid Parking,122.33246437,47.62554339
55410,DILLING WAY BETWEEN 3RD AVE AND 4TH AVE,SE,120,3,Pioneer Square,Edge,,Paid Parking,122.32955839,47.60197685
12549,REPUBLICAN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,N,120,4,South Lake Union,South,,Paid Parking,122.33362709,47.62318464
10153,EASTLAKE AVE E BETWEEN THOMAS ST AND HARRISON ST,W,120,10,South Lake Union,South,,Paid Parking,122.32922659,47.6213762
48125,2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST,SW,120,7,Pioneer Square,Edge,,Paid Parking,122.33098743,47.6004591
9769,COLUMBIA ST BETWEEN 4TH AVE AND 5TH AVE,NW,120,4,Commercial Core,Financial,,Paid Parking,122.33108355,47.60494713
34222,MADISON ST BETWEEN 7TH AVE AND 8TH AVE,SE,120,8,First Hill,,,Paid Parking,122.32897221,47.60766068
59374,EAST GREEN LAKE DR N BETWEEN NE 72ND ST AND NE MAPLE LEAF PL,NE,30,3,Green Lake,,,Paid Parking,122.32586409,47.68054512
2090,15TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST,E,240,23,University District,Edge,,Paid Parking,122.31187465,47.66397536
58685,WALL ST BETWEEN 2ND AVE AND 3RD AVE,NW,240,9,Belltown,North,,Paid Parking,122.34754004,47.61572569
25717,2ND AVE BETWEEN VINE ST AND CEDAR ST,SW,240,7,Belltown,North,,Paid Parking,122.34936046,47.61613375
75169,5TH AVE BETWEEN BLANCHARD ST AND BELL ST,SW,120,12,Belltown,South,,Paid Parking,122.3425019,47.61558523
59961,E PIKE ST BETWEEN 10TH AVE AND 11TH AVE,N,120,9,Pike-Pine,,,Paid Parking,122.31880508,47.614161
78069,EASTLAKE AVE E BETWEEN DENNY LOWER WAY AND STEWART ST,W,600,16,South Lake Union,South,,Paid Parking,122.32925328,47.61913534
36094,WESTERN AVE BETWEEN YESLER WAY AND COLUMBIA ST,NE,120,8,Pioneer Square,Edge,,Paid Parking,122.33551423,47.60234501
36494,E CHERRY ST BETWEEN 17TH AVE AND 18TH AVE,S,120,9,Cherry Hill,,,Paid Parking,122.30963836,47.60796583
79654,MARION ST BETWEEN 5TH AVE AND 6TH AVE,SE,120,9,Commercial Core,Financial,,Paid Parking,122.33051509,47.6060354
11118,JEFFERSON ST BETWEEN 4TH AVE AND 5TH AVE,SE,120,17,Commercial Core,Financial,,Paid Parking,122.32904642,47.6027045
77261,BOREN AVE BETWEEN FAIRVIEW AVE AND DENNY WAY,SW,240,10,Denny Triangle,North,,Paid Parking,122.33485267,47.61812378
56910,MADISON ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,SE,30,6,First Hill,,,Paid Parking,122.32231995,47.61044274
34509,MINOR AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,W,600,14,South Lake Union,South,,Paid Parking,122.33309802,47.62256499
8854,ALASKAN E RDWY WAY BETWEEN MADISON ST AND SPRING ST,NE,240,10,Commercial Core,Waterfront,,Paid Parking,122.3383856,47.60431112
55449,EASTLAKE AVE E BETWEEN HARRISON ST AND REPUBLICAN ST,W,120,10,South Lake Union,South,,Restricted Parking Zone,122.32927427,47.62252079
13170,UNION ST BETWEEN TERRY AVE AND BOREN AVE,SE,120,8,First Hill,,,Restricted Parking Zone,122.32852377,47.61219682
7990,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,NE,120,4,Commercial Core,Retail,,Paid Parking,122.33302531,47.60968746
32434,CEDAR ST BETWEEN 4TH AVE AND DENNY WAY,SE,240,2,Belltown,North,,Paid Parking,122.34751872,47.6181351
11138,JOHN ST BETWEEN 8TH AVE N AND 9TH AVE N,S,600,21,South Lake Union,South,,Paid Parking,122.34052184,47.6196361
57198,MINOR AVE N BETWEEN REPUBLICAN ST AND MERCER ST,E,600,10,South Lake Union,South,,Paid Parking,122.33290607,47.6237063
24265,1ST AVE W BETWEEN W JOHN ST AND W THOMAS ST,W,240,11,Uptown,Edge,,Paid Parking,122.35812152,47.62037124
9677,CEDAR ST BETWEEN 1ST AVE AND 2ND AVE,NW,240,9,Belltown,North,,Paid Parking,122.35024738,47.61621189
79789,MERCER ST BETWEEN YALE AVE N AND EASTLAKE AVE E,N,120,6,South Lake Union,South,,Restricted Parking Zone,122.32982852,47.62432634
4437,3RD AVE BETWEEN WALL ST AND VINE ST,SW,240,10,Belltown,North,,Paid Parking,122.34756286,47.61625081
81114,TERRY AVE BETWEEN LENORA ST AND DENNY WAY,NE,240,4,Denny Triangle,North,,Paid Parking,122.33663822,47.61816803
30705,6TH AVE BETWEEN WALL ST AND DENNY WAY,SW,240,8,Denny Triangle,North,,Paid Parking,122.34494996,47.61820358
94602,FAIRVIEW NR AVE N BETWEEN FAIRVIEW PL N AND ALOHA ST,SE,120,28,South Lake Union,North,,Paid Parking,122.33364771,47.6267583
13130,THOMAS ST BETWEEN TAYLOR AVE N AND 6TH AVE N,S,600,9,Uptown Triangle,,,Paid Parking,122.34564456,47.62082637
56073,HARRISON ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,N,120,4,South Lake Union,South,,Paid Parking,122.33914567,47.62212606
9145,BATTERY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,NW,240,4,Belltown,North,,Paid Parking,122.34915928,47.61320772
25713,2ND AVE BETWEEN BELL ST AND BATTERY ST,SW,240,12,Belltown,North,,Paid Parking,122.34632708,47.61433067
46250,1ST AVE BETWEEN PIKE ST AND PINE ST,NE,120,6,Commercial Core,Retail,,Paid Parking,122.3403749,47.60935161
134961,DEXTER AVE N BETWEEN ALOHA ST AND WARD ST,W,120,6,South Lake Union,North,,Paid Parking,122.34243224,47.62757257
76989,BATTERY ST BETWEEN 5TH AVE AND AURORA AVE,NW,240,4,Belltown,North,,Paid Parking,122.34404293,47.61719267
46457,1ST AVE W BETWEEN W HARRISON ST AND W REPUBLICAN ST,W,240,8,Uptown,Edge,,Paid Parking,122.35809952,47.62270309
47962,2ND AVE BETWEEN COLUMBIA ST AND MARION ST,NE,120,7,Commercial Core,Financial,,Paid Parking,122.33403791,47.60412243
70757,2ND AVE BETWEEN CLAY ST AND BROAD ST,SW,30,4,Belltown,North,,Paid Parking,122.35122851,47.61722754
9422,BOYLSTON AVE BETWEEN MADISON ST AND SPRING ST,NE,120,4,First Hill,,,Paid Parking,122.32210446,47.61113665
75170,5TH AVE BETWEEN BLANCHARD ST AND BELL ST,NE,120,10,Belltown,South,,Paid Parking,122.3423449,47.6157109
35821,UNIVERSITY ST BETWEEN 9TH AVE AND TERRY AVE,NW,120,5,First Hill,,,Paid Parking,122.32882203,47.61081539
33146,FAIRVIEW AVE N BETWEEN JOHN ST AND THOMAS ST,E,600,15,South Lake Union,South,,Paid Parking,122.33419944,47.62024125
21765,S WASHINGTON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,N,120,2,Pioneer Square,Edge,,Paid Parking,122.33489185,47.60093944
12873,STEWART ST BETWEEN 1ST AVE AND 2ND AVE,NW,120,2,Commercial Core,Retail,,Paid Parking,122.34092753,47.61070046
53241,6TH AVE S BETWEEN S WELLER ST AND S LANE ST,W,120,7,Chinatown/ID,Core,,Paid Parking,122.32645397,47.59707811
60225,E UNION ST BETWEEN BOYLSTON AVE AND HARVARD AVE,N,120,8,Pike-Pine,,,Paid Parking,122.32272028,47.61304716
8869,ALASKAN E RDWY WAY S BETWEEN YESLER WAY AND S WASHINGTON ST,SW,240,22,Pioneer Square,Edge,,Paid Parking,122.33589585,47.60127516
69085,1ST AVE S BETWEEN S JACKSON ST AND S KING ST,W,120,10,Pioneer Square,Edge,,Paid Parking,122.33430723,47.59874436
1229,10TH AVE BETWEEN E MADISON ST AND E SENECA ST,W,120,5,Pike-Pine,,,Paid Parking,122.31945954,47.61196395
77217,BLANCHARD ST BETWEEN 2ND AVE AND 3RD AVE,NW,120,6,Belltown,South,,Paid Parking,122.34397195,47.61367039
35430,SENECA ST BETWEEN 8TH AVE AND 9TH AVE,SE,120,5,First Hill,,,Paid Parking,122.32918411,47.60954538
1017,1ST AVE BETWEEN STEWART ST AND VIRGINIA ST,SW,120,9,Belltown,South,,Paid Parking,122.34203467,47.61063188
13198,UNIVERSITY ST BETWEEN SUMMIT AVE AND BOYLSTON W AVE,SE,120,13,First Hill,,,Restricted Parking Zone,122.32425866,47.61258563
79029,JOHN ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,N,120,7,South Lake Union,South,,Restricted Parking Zone,122.33362811,47.61973194
47225,15TH AVE NE BETWEEN NE 43RD ST AND NE 45TH ST,W,120,6,University District,Core,,Paid Parking,122.31206204,47.66050168
9150,BATTERY ST BETWEEN 4TH AVE AND 5TH AVE,SE,240,4,Belltown,North,,Paid Parking,122.34471355,47.61641582
43906,S WASHINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,S,120,3,Pioneer Square,Core,,Paid Parking,122.33351818,47.60081932
46410,1ST AVE S BETWEEN S KING ST AND RAILROAD N WAY S,E,120,19,Pioneer Square,Edge,,Paid Parking,122.33405798,47.5973651
10873,HARRISON ST BETWEEN 8TH AVE N AND 9TH AVE N,N,600,5,South Lake Union,South,,Paid Parking,122.34041259,47.62212546
75781,6TH AVE BETWEEN UNION ST AND PIKE ST,SW,120,10,Commercial Core,Retail,,Paid Parking,122.33409932,47.61061354
79678,MAYNARD AVE S BETWEEN S KING ST AND S WELLER ST,E,120,4,Chinatown/ID,Core,,Paid Parking,122.32495913,47.59790356
8301,7TH AVE S BETWEEN S KING ST AND S WELLER ST,W,120,5,Chinatown/ID,Core,,Paid Parking,122.32386073,47.59790731
11770,MERCER ST BETWEEN WARREN AVE N AND 2ND AVE N,S,240,9,Uptown,Edge,,Paid Parking,122.35347203,47.62448372
32433,CEDAR ST BETWEEN 4TH AVE AND DENNY WAY,NW,240,5,Belltown,North,,Paid Parking,122.34772514,47.61818792
35733,TERRY AVE N BETWEEN DENNY WAY AND JOHN ST,W,120,9,South Lake Union,South,,Paid Parking,122.33727883,47.61911578
34294,MARION ST BETWEEN ALASKAN E RDWY WAY AND WESTERN AVE,SE,120,4,Commercial Core,Waterfront,,Paid Parking,122.33705366,47.60330023
78065,EASTLAKE AVE BETWEEN HOWELL ST AND DENNY LOWER WAY,W,240,3,Denny Triangle,North,,Paid Parking,122.32926153,47.61818495
35745,THOMAS ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,N,120,1,South Lake Union,South,,Paid Parking,122.33776217,47.62093987
8626,9TH AVE N BETWEEN BROAD E ST AND WESTLAKE AVE N,E,600,6,South Lake Union,North,,Paid Parking,122.33958113,47.62609289
13082,TERRY AVE BETWEEN CHERRY ST AND COLUMBIA ST,NE,120,7,First Hill,,,Paid Parking,122.32455178,47.60711941
54073,ALOHA ST BETWEEN MINOR AVE N AND YALE AVE N,N,600,10,South Lake Union,North,,Paid Parking,122.33160969,47.62691411
32177,BOYLSTON AVE BETWEEN E PINE ST AND E OLIVE ST,W,120,5,Capitol Hill,South,,Restricted Parking Zone,122.32352842,47.61581966
79881,MINOR AVE BETWEEN SENECA ST AND UNIVERSITY ST,SW,120,8,First Hill,,,Restricted Parking Zone,122.32573646,47.61157561
47969,2ND AVE BETWEEN PIKE ST AND PINE ST,SW,120,11,Commercial Core,Retail,,Paid Parking,122.33945111,47.6097219
12537,REPUBLICAN ST BETWEEN DEXTER AVE N AND 8TH AVE N,N,120,6,South Lake Union,South,,Paid Parking,122.34168168,47.62327882
81478,WESTERN AVE BETWEEN PIKE ST AND PINE ST,NE,120,4,Commercial Core,Waterfront,,Paid Parking,122.34146583,47.60885995
56358,JOHN ST BETWEEN WESTLAKE AVE N AND TERRY AVE N,S,600,2,South Lake Union,South,,Paid Parking,122.3378255,47.61963986
13790,YALE AVE N BETWEEN STEWART ST AND JOHN ST,E,120,4,South Lake Union,South,,Paid Parking,122.3303422,47.61923507
120102,EASTLAKE AVE E BETWEEN WARD ST AND PROSPECT ST,W,600,10,South Lake Union,North,,Paid Parking,122.32938631,47.62823632
35437,SENECA ST BETWEEN BOYLSTON AVE AND HARVARD AVE,NW,120,5,First Hill,,,Restricted Parking Zone,122.32258678,47.61245254
2986,2ND AV ET S BETWEEN S JACKSON ST AND S MAIN ST,NE,120,5,Pioneer Square,Edge,,Paid Parking,122.32990794,47.59960565
8401,8TH AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,W,600,11,South Lake Union,South,,Paid Parking,122.34116298,47.6239067
76197,8TH AVE N BETWEEN JOHN ST AND THOMAS ST,W,120,25,South Lake Union,South,,Paid Parking,122.34118265,47.62032565
76033,7TH AVE BETWEEN JAMES ST AND CHERRY ST,SW,120,7,First Hill,,,Paid Parking,122.32739887,47.60497388
31498,ALASKAN WAY BETWEEN BLANCHARD ST AND XW BELL ST,NE,120,1,Belltown,South,,Paid Parking,122.34809425,47.61117107
13102,TERRY AVE BETWEEN VIRGINIA ST AND LENORA ST,NE,240,3,Denny Triangle,North,,Paid Parking,122.3355126,47.6174762
81117,TERRY AVE N BETWEEN REPUBLICAN ST AND MERCER SR ST,W,120,15,South Lake Union,South,,Paid Parking,122.33723822,47.62389155
36122,WESTERN AVE BETWEEN CEDAR ST AND CLAY ST,NE,240,9,Belltown,North,,Paid Parking,122.35186904,47.61545354
79765,MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE N,N,120,3,Uptown,Core,,Paid Parking,122.35604183,47.62465595
32173,BOYLSTON AVE BETWEEN E UNION ST AND E PIKE ST,W,120,9,Pike-Pine,,,Restricted Parking Zone,122.32346094,47.61352495
9394,BOREN AVE N BETWEEN THOMAS ST AND HARRISON ST,E,600,3,South Lake Union,South,,Paid Parking,122.33575104,47.62142529
34482,MINOR AVE BETWEEN SPRING ST AND SENECA ST,NE,120,9,First Hill,,,Restricted Parking Zone,122.32492277,47.61091012
81249,VALLEY ST BETWEEN YALE AVE N AND DEAD END,N,120,3,South Lake Union,North,,Paid Parking,122.33052796,47.62602846
76042,7TH AVE BETWEEN MADISON ST AND SPRING ST,NE,120,5,First Hill,,,Carpool Parking,122.32985799,47.60788056
13105,TERRY AVE N BETWEEN JOHN ST AND THOMAS ST,W,120,7,South Lake Union,South,,Paid Parking,122.33727531,47.62027821
57513,PIKE ST BETWEEN 8TH AVE AND CONVENTION PL,NW,120,3,Commercial Core,Retail,,Paid Parking,122.33173301,47.6123329
123744,S KING ST BETWEEN MAYNARD AL S AND 7TH AVE S,N,120,4,Chinatown/ID,Core,,Paid Parking,122.32415721,47.59841065
74030,4TH AVE BETWEEN LENORA ST AND BLANCHARD ST,NE,120,2,Belltown,South,,Paid Parking,122.34189516,47.61428003
35830,UNIVERSITY ST BETWEEN BOREN AVE AND MINOR AVE,SE,120,5,First Hill,,,Restricted Parking Zone,122.3264665,47.61167817
36009,WARREN AVE N BETWEEN JOHN ST AND THOMAS ST,W,240,12,Uptown,Edge,,Paid Parking,122.3542549,47.6203341
24041,1ST AVE BETWEEN BELL ST AND BATTERY ST,SW,240,12,Belltown,North,,Paid Parking,122.34725736,47.61370956
37821,N 35TH ST BETWEEN EVANSTON AVE N AND FREMONT AVE N,N,120,14,Fremont,,,Paid Parking,122.35083983,47.65073976
35502,SPRING ST BETWEEN BOREN AVE AND MINOR AVE,SE,120,4,First Hill,,,Restricted Parking Zone,122.3251578,47.61025244
13298,VINE ST BETWEEN 5TH AVE AND DENNY WAY,SE,240,6,Belltown,North,,Paid Parking,122.34572231,47.61819148
1009,1ST AVE BETWEEN MADISON ST AND SPRING ST,SW,30,5,Commercial Core,Waterfront,,Paid Parking,122.3366575,47.60501765
80953,SUMMIT AVE BETWEEN E PINE ST AND E OLIVE ST,W,120,6,Capitol Hill,South,,Restricted Parking Zone,122.32564569,47.61580147
39485,NE 47TH ST BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,N,120,2,University District,Core,,Paid Parking,122.31252473,47.66314523
35705,TERRACE ST BETWEEN TERRY AVE AND BOREN AVE,NW,120,10,First Hill,,,Restricted Parking Zone,122.32181773,47.6048662
80550,REPUBLICAN ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,S,120,4,South Lake Union,South,,Paid Parking,122.33914163,47.62315969
58085,SENECA ST BETWEEN BOREN AVE AND MINOR AVE,NW,120,3,First Hill,,,Restricted Parking Zone,122.32591296,47.61107791
135261,E MADISON ST BETWEEN 14TH AVE AND E PIKE ST,SE,120,5,Pike-Pine,,,Paid Parking,122.3138787,47.61396324
